"Number","Name","Type1","Type2","Male","Female","WeightClass","Size","BaseHP","BaseAtk","BaseDef","BaseSpAtk","BaseSpDef","BaseSpeed","NumberEvols","Capabilities","Skills","MinimumLevel"
192,"Sunflora",10,0,50,50,1,"Small",8,8,6,11,9,3,0,"Overland 5, Swim 2, Jump 2/2, Power 3, Intelligence 4, Naturewalk (Grassland, Forest)","Athl 4d6+1, Acro 3d6+2, Combat 2d6, Stealth 3d6+1, Percep 4d6+2, Focus 5d6+2",1
193,"Yanma",1,8,50,50,3,"Medium",7,7,5,6,5,10,1,"Overland 2, Swim 2, Sky 4, Jump 1/1, Power 3, Intelligence 3, Underdog","Athl 2d6, Acro 3d6, Combat 2d6, Stealth 2d6-1, Percep 2d6+1, Focus 2d6",1
194,"Wooper",18,11,50,50,1,"Small",6,5,5,3,3,2,1,"Overland 5, Swim 4, Jump 3/3, Power 1, Intelligence 3, Fountain, Gilled, Underdog","Athl 1d6, Acro 1d6, Combat 1d6, Stealth 3d6, Percep 2d6, Focus 2d6",1
195,"Quagsire",18,11,50,50,4,"Medium",10,9,9,7,7,4,0,"Overland 6, Swim 5, Jump 3/3, Power 3, Intelligence 4, Fountain, Gilled","Athl 4d6+2, Acro 2d6, Combat 2d6, Stealth 2d6, Percep 3d6+1, Focus 4d6",20
196,"Espeon",15,0,87.5,12.5,3,"Medium",7,7,6,13,10,11,0,"Overland 6, Swim 4, Jump 1/2, Power 3, Intelligence 5, Telepath, Telekinetic, Tracker, Premonition","Athl 4d6+2, Acro 3d6+1, Combat 3d6, Stealth 3d6+1, Percep 4d6+2, Focus 5d6+3",1
197,"Umbreon",2,0,87.5,12.5,3,"Medium",10,7,11,6,13,7,0,"Overland 6, Swim 4, Jump 1/2, Power 3, Intelligence 4, Darkvision, Tracker, Stealth","Athl 4d6+2, Acro 3d6+1, Combat 3d6+3, Stealth 5d6+2, Percep 3d6+2, Focus 4d6+2",1
198,"Murkrow",2,8,50,50,1,"Small",6,9,4,9,4,9,1,"Overland 3, Swim 1, Sky 6, Jump 2/2, Power 1, Intelligence 4, Darkvision, Stealth, Underdog, Fortune","Athl 2d6+1, Acro 3d6, Combat 2d6+1, Stealth 4d6+1, Percep 3d6+1, Focus 2d6+1",1
199,"Slowking",18,15,50,50,4,"Medium",10,8,8,10,11,3,0,"Overland 4, Swim 3, Jump 1/1, Power 5, Intelligence 7, Aura, Pack Mon, Telepath","Athl 3d6, Acro 2d6, Combat 3d6, Stealth 2d6, Percep 5d6+2, Focus 4d6",35
200,"Misdreavus",9,0,50,50,1,"Small",6,6,6,9,9,9,1,"Overland 1, Swim 2, Jump 1/1, Levitate 3, Power 2, Intelligence 2, Darkvision, Dead Silent, Invisibility, Phasing, Underdog","Athl 1d6+2, Acro 1d6+2, Combat 2d6, Stealth 3d6, Percep 2d6, Focus 2d6",1
201,"Unown",15,0,0,0,1,"Small",5,7,5,7,5,5,0,"Levitate 4, Swim 2, Jump 1/1, Power 1, Intelligence 5, Invisibility, Telekinetic, Underdog, Gather Unown","Athl 1d6+2, Acro 2d6, Combat 2d6, Stealth 3d6+1, Percep 5d6, Focus 3d6",1
202,"Wobbuffet",15,0,50,50,3,"Medium",19,3,6,3,6,3,0,"Overland 4, Swim 2, Jump 1/1, Power 3, Intelligence 4","Athl 3d6+2, Acro 2d6+2, Combat 1d6, Stealth 3d6+2, Percep 4d6+2, Focus 5d6+2",15
203,"Girafarig",13,15,50,50,3,"Medium",7,8,7,9,7,9,0,"Overland 6, Swim 4, Jump 2/2, Power 4, Intelligence 4, Mountable 1","Athl 3d6, Acro 2d6+2, Combat 2d6, Stealth 2d6, Percep 5d6+2, Focus 4d6",1
204,"Pineco",1,0,50,50,1,"Small",5,7,9,4,4,2,1,"Overland 2, Swim 2, Jump 1/2, Power 3, Intelligence 3, Naturewalk (Grassland, Forest), Threaded, Underdog","Athl 2d6, Acro 1d6, Combat 2d6, Stealth 3d6+2, Percep 3d6+2, Focus 2d6",1
205,"Forretress",1,17,50,50,5,"Medium",8,9,14,6,6,4,0,"Overland 4, Swim 2, Jump 1/1, Power 6, Intelligence 4, Naturewalk (Grassland, Forest), Threaded","Athl 5d6, Acro 2d6, Combat 2d6, Stealth 2d6+2, Percep 4d6+2, Focus 3d6",30
206,"Dunsparce",13,0,50,50,2,"Medium",10,7,7,7,7,5,0,"Overland 4, Swim 4, Burrow 6, Jump 1/1, Power 1, Intelligence 3, Darkvision, Underdog","Athl 2d6+1, Acro 3d6, Combat 2d6, Stealth 5d6, Percep 2d6+2, Focus 3d6",1
207,"Gligar",11,8,50,50,4,"Medium",7,8,11,4,7,9,1,"Overland 4, Swim 2, Sky 4, Burrow 3, Jump 2/2, Power 3, Intelligence 3, Underdog","Athl 2d6+1, Acro 3d6, Combat 2d6, Stealth 3d6+1, Percep 3d6+1, Focus 2d6+1",1
208,"Steelix",17,11,50,50,6,"Gigantic",8,9,20,6,7,3,0,"Overland 7, Swim 4, Burrow 7, Jump 2/3, Power 14, Intelligence 4, Groundshaper, Reach 3, Tremorsense, Mountable 5","Athl 5d6+2, Acro 2d6, Combat 3d6+2, Stealth 1d6, Percep 3d6, Focus 4d6+1",35
209,"Snubbull",13,0,25,75,1,"Small",6,8,5,4,4,3,1,"Overland 5, Swim 3, Jump 1/1, Power 1, Intelligence 3, Tracker, Underdog","Athl 2d6, Acro 2d6, Combat 3d6-1, Stealth 2d6, Percep 4d6, Focus 3d6",1
210,"Granbull",13,0,25,75,3,"Medium",9,12,8,6,6,5,0,"Overland 7, Swim 3, Jump 2/2, Power 5, Intelligence 4, Tracker","Athl 4d6, Acro 2d6, Combat 4d6+2, Stealth 2d6, Percep 4d6, Focus 4d6",20
211,"Qwilfish",18,14,50,50,1,"Small",7,10,8,6,6,9,0,"Overland 2, Swim 7, Jump 1/1, Power 2, Intelligence 3, Gilled","Athl 3d6+2, Acro 2d6+2, Combat 3d6, Stealth 3d6, Percep 2d6, Focus 2d6",1
212,"Scizor",1,17,50,50,5,"Medium",7,13,10,6,8,7,0,"Overland 7, Swim 3, Sky 7, Jump 2/3, Power 7, Intelligence 4, Naturewalk (Grassland, Forest)","Athl 5d6+2, Acro 4d6, Combat 4d6+2, Stealth 3d6-2, Percep 3d6, Focus 3d6+2",30
213,"Shuckle",1,16,50,50,2,"Small",2,1,23,1,23,1,0,"Overland 3, Swim 1, Jump 0/0, Power 4, Intelligence 4, Juicer","Athl 2d6+1, Acro 1d6, Combat 1d6, Stealth 3d6+1, Percep 2d6+1, Focus 3d6+1",1
214,"Heracross",1,6,50,50,4,"Medium",8,13,8,4,10,9,0,"Overland 5, Swim 3, Sky 4, Jump 1/1, Power 8, Intelligence 4","Athl 5d6+3, Acro 4d6+2, Combat 4d6+2, Stealth 3d6+1, Percep 3d6+1, Focus 3d6+1",1
215,"Sneasel",2,12,50,50,3,"Medium",6,10,6,4,8,12,1,"Overland 7, Swim 3, Jump 2/2, Power 2, Intelligence 3, Darkvision, Naturewalk (Tundra), Stealth","Athl 2d6+2, Acro 3d6+2, Combat 3d6+2, Stealth 4d6+1, Percep 2d6, Focus 2d6+1",1
216,"Teddiursa",13,0,50,50,1,"Small",6,8,5,5,5,4,1,"Overland 5, Swim 3, Jump 2/2, Power 1, Intelligence 4, Tracker, Stealth, Underdog, Honey Gather","Athl 1d6, Acro 2d6, Combat 2d6, Stealth 4d6, Percep 4d6, Focus 1d6",1
217,"Ursaring",13,0,50,50,5,"Medium",9,13,8,8,8,6,0,"Overland 7, Swim 4, Jump 2/2, Power 6, Intelligence 4, Tracker","Athl 4d6+2, Acro 2d6, Combat 5d6, Stealth 2d6, Percep 4d6, Focus 1d6",30
218,"Slugma",7,0,50,50,3,"Small",4,4,4,7,4,2,1,"Overland 3, Swim 2, Jump 0/0, Power 3 Intelligence 3, Amorphous, Egg Warmer, Firestarter, Wallclimber, Underdog","Athl 2d6+1, Acro 1d6, Combat 2d6, Stealth 3d6+1, Percep 2d6+1, Focus 3d6+1",1
219,"Magcargo",7,16,50,50,4,"Medium",5,5,12,8,8,3,0,"Overland 4, Swim 3, Jump 0/0, Power 4 Intelligence 4, Egg Warmer, Firestarter, Heater, Wallclimber","Athl 3d6+1, Acro 1d6, Combat 2d6, Stealth 3d6+2, Percep 4d6+2, Focus 5d6+3",35
220,"Swinub",12,11,50,50,1,"Small",5,5,4,3,3,5,2,"Overland 3, Swim 1, Jump 1/1, Power 1, Intelligence 3, Naturewalk (Tundra), Underdog","Athl 2d6, Acro 1d6+1, Combat 1d6+2, Stealth 3d6, Percep 1d6, Focus 2d6",1
221,"Piloswine",12,11,50,50,4,"Medium",10,10,8,6,6,5,1,"Overland 5, Swim 3, Jump 1/1, Power 4, Intelligence 3, Naturewalk (Tundra), Underdog","Athl 3d6+2, Acro 1d6, Combat 3d6, Stealth 2d6, Percep 2d6, Focus 3d6",30
222,"Corsola",18,16,25,75,1,"Small",6,6,9,7,9,4,0,"Overland 3, Swim 4, Jump 1/1, Power 3, Intelligence 3, Gilled, Underdog","Athl 3d6+2, Acro 2d6, Combat 2d6, Stealth 4d6+1, Percep 3d6+1, Focus 3d6+2",1
223,"Remoraid",18,0,50,50,2,"Small",4,7,4,7,4,7,1,"Overland 1, Swim 6, Jump 1/1, Power 1, Intelligence 4, Gilled, Underdog","Athl 2d6, Acro 3d6, Combat 1d6, Stealth 2d6, Percep 3d6+2, Focus 2d6",1
224,"Octillery",18,0,50,50,3,"Small",8,11,8,11,8,5,0,"Overland 3, Swim 6, Jump 1/1, Power 4, Intelligence 4, Amorphous, Gilled","Athl 4d6+1, Acro 3d6, Combat 3d6+2, Stealth 2d6, Percep 4d6+2, Focus 3d6",25
225,"Delibird",12,8,50,50,2,"Medium",5,6,5,7,5,8,0,"Overland 4, Swim 6, Jump 3/4, Power 4, Intelligence 4, Chilled, Naturewalk (Tundra), Underdog","Athl 3d6+1, Acro 3d6, Combat 2d6, Stealth 2d6, Percep 2d6, Focus 2d6",1
226,"Mantine",18,8,50,50,6,"Large",7,4,7,8,14,7,0,"Overland 2, Swim 8, Sky 8, Jump 3/3, Power 5, Intelligence 4, Gilled, Mountable 1","Athl 4d6, Acro 4d6, Combat 2d6, Stealth 2d6, Percep 3d6+1, Focus 4d6",10
227,"Skarmory",17,8,50,50,4,"Large",7,8,14,4,7,7,0,"Overland 4, Swim 3, Sky 9, Jump 1/2, Power 5, Intelligence 4, Mountable 1","Athl 3d6+2, Acro 5d6, Combat 4d6+2, Stealth 2d6, Percep 4d6, Focus 3d6",1
228,"Houndour",2,7,50,50,1,"Small",5,6,3,8,5,7,1,"Overland 5, Swim 3, Jump 1/1, Power 2, Intelligence 3, Darkvision, Tracker, Underdog","Athl 3d6+1, Acro 3d6, Combat 2d6+2, Stealth 3d6+1, Percep 2d6+1, Focus 2d6",1
229,"Houndoom",2,7,50,50,3,"Medium",8,9,5,11,8,10,0,"Overland 7, Swim 4, Jump 1/2, Power 5, Intelligence 4, Darkvision, Tracker","Athl 4d6+2, Acro 2d6, Combat 4d6, Stealth 2d6+1, Percep 3d6+1, Focus 3d6",25
230,"Kingdra",18,3,50,50,5,"Medium",8,10,10,10,10,9,0,"Overland 3, Swim 8, Jump 2/2, Power 6, Intelligence 5, Fountain, Gilled, Mountable 1","Athl 5d6+1, Acro 3d6, Combat 4d6+2, Stealth 2d6, Percep 3d6+2, Focus 4d6+2",40
231,"Phanpy",11,0,50,50,3,"Small",9,6,6,4,4,4,1,"Overland 5, Swim 3, Jump 1/1, Power 4, Intelligence 3, Tracker, Underdog","Athl 3d6+2, Acro 2d6, Combat 1d6, Stealth 2d6+1, Percep 2d6+1, Focus 3d6+1",1
232,"Donphan",11,0,50,50,5,"Medium",9,12,12,6,6,5,0,"Overland 7, Swim 4, Jump 1/1, Power 7, Intelligence 4, Tracker, Mountable 1","Athl 5d6+2, Acro 2d6, Combat 3d6+2, Stealth 2d6, Percep 3d6+1, Focus 4d6+1",25
233,"Porygon2",13,0,0,0,3,"Small",9,8,9,11,10,6,1,"Overland 2, Swim 2, Levitate 6, Jump 1/1, Power 2, Intelligence 5, Wired","Athl 2d6, Acro 2d6, Combat 3d6, Stealth 2d6, Percep 4d6+2, Focus 4d6, Edu: Tech 4d6+1",10
234,"Stantler",13,0,50,50,4,"Medium",7,10,6,9,7,9,0,"Overland 7, Swim 3, Jump 2/2, Power 4, Intelligence 4, Tracker","Athl 3d6+2, Acro 2d6+1, Combat 2d6+2, Stealth 3d6+2, Percep 4d6+2, Focus 4d6",1
235,"Smeargle",13,0,50,50,4,"Medium",6,2,4,2,5,8,0,"Overland 5, Swim 3, Jump 1/1, Power 3, Intelligence 4, Tracker, Underdog","Athl 2d6, Acro 2d6, Combat 2d6, Stealth 4d6, Percep 3d6+2, Focus 2d6+1",1
236,"Tyrogue",6,0,100,0,2,"Small",4,4,4,4,4,4,1,"Overland 4, Swim 2, Jump 1/1, Power 4, Intelligence 3, Underdog","Athl 3d6+2, Acro 2d6+1, Combat 3d6, Stealth 3d6, Percep 2d6, Focus 2d6+1",1
237,"Hitmontop",6,0,100,0,3,"Medium",5,10,10,4,11,7,0,"Overland 5, Swim 3, Jump 2/2, Power 6, Intelligence 4, Aura","Athl 5d6+2, Acro 4d6+1, Combat 5d6, Stealth 3d6, Percep 3d6, Focus 4d6+1",20
238,"Smoochum",12,15,0,100,1,"Small",5,3,2,9,7,7,1,"Overland 4, Swim 2, Jump 1/1, Power 1, Intelligence 3, Underdog","Athl 2d6, Acro 3d6, Combat 1d6, Stealth 3d6+2, Percep 2d6, Focus 2d6+1",1
239,"Elekid",4,0,75,25,2,"Small",5,8,4,7,6,8,2,"Overland 4, Swim 2, Jump 1/1, Power 3, Intelligence 3, Zapper, Underdog","Athl 2d6+1, Acro 2d6+1, Combat 2d6, Stealth 2d6, Percep 2d6, Focus 2d6",1
240,"Magby",7,0,75,25,2,"Small",5,8,4,7,6,8,2,"Overland 4, Swim 2, Jump 1/1, Power 3, Intelligence 3, Egg Warmer, Underdog","Athl 2d6+1, Acro 2d6, Combat 1d6+1, Stealth 1d6, Percep 2d6, Focus 2d6",1
241,"Miltank",13,0,0,100,4,"Medium",10,8,11,4,7,10,0,"Overland 5, Swim 2, Jump 1/1, Power 5, Intelligence 4, Milk Collection","Athl 3d6+1, Acro 2d6, Combat 2d6, Stealth 2d6, Percep 2d6+2, Focus 2d6+2",1
242,"Blissey",13,0,0,100,3,"Medium",26,1,1,8,14,6,0,"Overland 6, Swim 2, Jump 1/1, Power 3, Intelligence 4","Athl 3d6, Acro 2d6+2, Combat 1d6, Stealth 2d6+1, Percep 2d6+2, Focus 5d6+2",40
243,"Raikou",4,0,0,0,5,"Large",9,9,8,12,10,12,0,"Overland 13, Swim 6, Jump 3/3, Power 8, Intelligence 5, Tracker, Zapper, Mountable 2","Athl 4d6+3, Acro 5d6, Combat 4d6, Stealth 4d6, Percep 3d6+2, Focus 4d6",1
244,"Entei",7,0,0,0,5,"Large",12,12,9,9,8,10,0,"Overland 12, Swim 6, Jump 3/3, Power 9, Intelligence 5, Firestarter, Heater, Tracker, Mountable 2","Athl 5d6+3, Acro 4d6, Combat 4d6, Stealth 3d6, Percep 3d6+2, Focus 4d6+2",1
245,"Suicune",18,0,0,0,5,"Large",10,8,12,9,12,9,0,"Overland 10, Swim 10, Jump 3/3, Power 8, Intelligence 5, Fountain, Guster, Tracker, Mountable 2","Athl 4d6+2, Acro 4d6+2, Combat 4d6, Stealth 4d6, Percep 3d6+2, Focus 5d6+2",1
246,"Larvitar",16,11,50,50,4,"Small",5,6,5,5,5,4,2,"Overland 4, Swim 1, Jump 0/1, Power 7, Intelligence 2, Underdog","Athl 3d6+2, Acro 1d6, Combat 2d6+1, Stealth 3d6+1, Percep 2d6+1, Focus 2d6",1
247,"Pupitar",16,11,50,50,5,"Medium",7,8,7,7,7,5,1,"Overland 3, Swim 1, Jump 0/1, Power 8, Intelligence 3, Underdog","Athl 4d6+2, Acro 1d6, Combat 3d6+1, Stealth 3d6+1, Percep 3d6+1, Focus 3d6+2",30
248,"Tyranitar",16,2,50,50,6,"Large",10,13,11,10,10,6,0,"Overland 6, Swim 3, Jump 1/2, Power 11, Intelligence 4, Darkvision","Athl 5d6+2, Acro 1d6, Combat 5d6+1, Stealth 2d6, Percep 4d6+1, Focus 4d6+2",50
249,"Lugia",15,8,0,0,6,"Huge",11,9,13,9,15,9,0,"Overland 5, Swim 8, Sky 8, Jump 3/3, Power 7, Intelligence 5, Aura Reader, Fountain, Gilled, Glow, Guster, Telekinetic, Telepath, Mountable 3","Athl 4d6, Acro 4d6, Combat 4d6, Stealth 3d6, Percep 5d6+6, Focus 6d6+6",1
250,"Ho-oh",7,8,0,0,5,"Huge",11,13,9,11,15,9,0,"Overland 5, Swim 3, Sky 8, Jump 3/3, Power 7, Intelligence 5, Aura Reader, Firestarter, Glow, Guster, Heater, Telepath, Mountable 3","Athl 4d6, Acro 5d6+3, Combat 4d6, Stealth 3d6, Percep 4d6, Focus 6d6+6",1
251,"Celebi",15,10,0,0,1,"Small",10,10,10,10,10,10,0,"Overland 7, Swim 4, Sky 6, Jump 2/2, Power 2, Intelligence 6, Aura, Glow, Naturewalk (Grassland, Forest), Sprouter, Telekinetic, Telepath","Athl 2d6, Acro 3d6, Combat 3d6, Stealth 4d6+2, Percep 6d6+2, Focus 4d6",1
252,"Treecko",10,0,87.5,12.5,1,"Small",4,5,4,7,6,7,2,"Overland 5, Swim 3, Jump 2/2, Power 2, Intelligence 3, Wallclimber, Naturewalk (Grassland, Forest), Underdog","Athl 3d6, Acro 3d6+3, Combat 2d6, Stealth 3d6+3, Percep 3d6, Focus 2d6",1
253,"Grovyle",10,0,87.5,12.5,2,"Medium",5,7,5,9,6,7,1,"Overland 8, Swim 4, Jump 3/3, Power 3, Intelligence 3, Wallclimber, Naturewalk (Grassland, Forest), Underdog","Athl 4d6, Acro 4d6+3, Combat 3d6+2, Stealth 5d6+3, Percep 4d6, Focus 3d6",15
254,"Sceptile",10,0,87.5,12.5,4,"Medium",7,9,7,11,9,12,0,"Overland 8, Swim 5, Jump 3/3, Power 5, Intelligence 4, Wallclimber, Naturewalk (Grassland, Forest)","Athl 4d6, Acro 5d6+2, Combat 5d6, Stealth 5d6+3, Percep 4d6, Focus 3d6",30
255,"Torchic",7,0,87.5,12.5,1,"Small",5,6,4,7,5,5,2,"Overland 6, Swim 3, Jump 1/2, Power 1, Intelligence 2, Heater, Underdog","Athl 2d6, Acro 3d6+3, Combat 2d6, Stealth 3d6, Percep 2d6, Focus 1d6",1
256,"Combusken",7,6,87.5,12.5,2,"Small",6,9,6,9,6,6,1,"Overland 8, Swim 3, Jump 2/2, Power 4, Intelligence 3, Firestarter, Heater, Underdog","Athl 3d6+3, Acro 4d6+3, Combat 3d6+2, Stealth 3d6, Percep 2d6, Focus 3d6",15
257,"Blaziken",7,6,87.5,12.5,4,"Medium",8,12,7,11,7,8,0,"Overland 10, Swim 4, Jump 3/4, Power 7, Intelligence 4, Firestarter, Heater","Athl 4d6+3, Acro 5d6+3, Combat 5d6, Stealth 3d6, Percep 3d6, Focus 4d6",35
258,"Mudkip",18,0,87.5,12.5,1,"Small",5,7,5,5,5,4,2,"Overland 5, Swim 6, Burrow 2, Jump 1/1, Power 2, Intelligence 2, Gilled, Fountain, Underdog","Athl 2d6, Acro 3d6, Combat 2d6, Stealth 3d6+2, Percep 3d6, Focus 2d6",1
259,"Marshtomp",18,11,87.5,12.5,3,"Small",7,9,7,6,7,5,1,"Overland 5, Swim 6, Burrow 2, Jump 1/1, Power 4, Intelligence 2, Gilled, Fountain, Underdog","Athl 3d6, Acro 2d6, Combat 3d6, Stealth 2d6+2, Percep 3d6+2, Focus 3d6",15
260,"Swampert",18,11,87.5,12.5,4,"Medium",10,11,9,9,9,6,0,"Overland 7, Swim 7, Burrow 4, Jump 2/2, Power 7, Intelligence 4, Fountain, Gilled","Athl 5d6, Acro 2d6, Combat 4d6, Stealth 2d6, Percep 3d6+2, Focus 4d6",30
261,"Poochyena",2,0,50,50,2,"Small",4,6,4,3,3,4,1,"Overland 5, Swim 3, Jump 1/1, Power 2, Intelligence 3, Darkvision, Tracker, Underdog","Athl 3d6+1, Acro 2d6+1, Combat 2d6+1, Stealth 3d6+1, Percep 2d6+1, Focus 2d6",1
262,"Mightyena",2,0,50,50,3,"Medium",7,9,7,6,6,7,0,"Overland 6, Swim 4, Jump 1/2, Power 6, Intelligence 4, Darkvision, Pack Mon, Tracker","Athl 4d6+2, Acro 2d6, Combat 3d6+3, Stealth 2d6+1, Percep 2d6+1, Focus 3d6",15
263,"Zigzagoon",13,0,50,50,2,"Small",4,3,4,3,4,6,1,"Overland 5, Swim 3, Jump 2/3, Power 1, Intelligence 3, Underdog","Athl 1d6, Acro 3d6, Combat 1d6, Stealth 3d6, Percep 3d6, Focus 2d6",1
264,"Linoone",13,0,50,50,3,"Small",8,7,6,5,6,10,0,"Overland 7, Swim 4, Jump 2/3, Power 3, Intelligence 4, Tracker","Athl 3d6, Acro 4d6, Combat 3d6, Stealth 4d6, Percep 5d6, Focus 3d6",15
265,"Wurmple",1,0,50,50,1,"Small",5,5,4,2,3,2,2,"Overland 3, Swim 2, Burrow 1, Jump 1/1, Power 1, Intelligence 2, Naturewalk (Grassland, Forest), Threaded, Split Evolution, Wallclimber, Underdog","Athl 3d6, Acro 1d6, Combat 2d6, Stealth 2d6, Percep 2d6, Focus 3d6",1
266,"Silcoon",1,0,50,50,1,"Small",5,4,6,3,3,2,1,"Overland 1, Swim 1, Jump 1/1, Power 1, Intelligence 2, Naturewalk (Grassland, Forest), Threaded, Underdog","Athl 1d6, Acro 1d6, Combat 2d6, Stealth 2d6, Percep 2d6, Focus 3d6",5
267,"Beautifly",1,8,50,50,3,"Medium",6,7,5,10,5,7,0,"Overland 2, Swim 2, Sky 9, Jump 1/1, Power 3, Intelligence 4, Naturewalk (Grassland, Forest)","Athl 3d6, Acro 3d6, Combat 2d6, Stealth 2d6, Percep 6d6+3, Focus 5d6",10
268,"Cascoon",1,0,50,50,1,"Small",5,4,6,3,3,2,1,"Overland 1, Swim 2, Jump 1/1, Power 1, Intelligence 2, Naturewalk (Grassland, Forest), Threaded, Underdog","Athl 1d6, Acro 1d6, Combat 2d6, Stealth 2d6, Percep 2d6, Focus 3d6",5
269,"Dustox",1,14,50,50,3,"Medium",6,5,7,5,9,7,0,"Overland 2, Swim 2, Sky 9, Jump 1/1, Power 2, Intelligence 4","Athl 3d6, Acro 3d6, Combat 2d6, Stealth 2d6, Percep 6d6+3, Focus 5d6",10
270,"Lotad",18,10,50,50,1,"Small",4,3,3,4,5,3,2,"Overland 3, Swim 4, Jump 1/1, Power 1, Intelligence 2, Fountain, Naturewalk (Grassland, Forest), Underdog","Athl 2d6, Acro 1d6+1, Combat 1d6, Stealth 3d6+2, Percep 2d6, Focus 2d6",1
271,"Lombre",18,10,50,50,3,"Medium",6,5,5,6,7,5,1,"Overland 4, Swim 5, Jump 1/2, Power 3, Intelligence 3, Fountain, Naturewalk (Grassland, Forest), Underdog","Athl 3d6+1, Acro 3d6, Combat 2d6+2, Stealth 3d6+2, Percep 2d6, Focus 3d6",15
272,"Ludicolo",18,10,50,50,4,"Medium",8,7,7,9,10,7,0,"Overland 5, Swim 7, Jump 1/2, Power 5, Intelligence 4, Fountain, Naturewalk (Grassland, Forest)","Athl 4d6, Acro 3d6+2, Combat 3d6+1, Stealth 2d6, Percep 2d6, Focus 4d6",15
273,"Seedot",10,0,50,50,1,"Small",4,4,5,3,3,3,2,"Overland 3, Swim 1, Jump 2/2, Power 1, Intelligence 3, Naturewalk (Grassland, Forest), Underdog","Athl 2d6, Acro 2d6, Combat 2d6, Stealth 3d6+1, Percep 2d6, Focus 2d6",1
274,"Nuzleaf",10,2,50,50,3,"Medium",7,7,4,6,4,6,1,"Overland 5, Swim 3, Jump 1/2, Power 4, Intelligence 4, Darkvision, Naturewalk (Grassland, Forest), Underdog","Athl 3d6+1, Acro 3d6+1, Combat 3d6+1, Stealth 4d6+2, Percep 2d6, Focus 3d6",15
275,"Shiftry",10,2,50,50,4,"Medium",9,10,6,9,6,8,0,"Overland 7, Swim 3, Jump 1/2, Power 5, Intelligence 4, Darkvision, Naturewalk (Grassland, Forest)","Athl 3d6+2, Acro 2d6+2, Combat 4d6+2, Stealth 4d6, Percep 2d6, Focus 4d6",15
276,"Taillow",13,8,50,50,1,"Small",4,6,3,3,3,9,1,"Overland 3, Swim 2, Sky 6, Jump 3/3, Power 1, Intelligence 3, Underdog","Athl 2d6, Acro 3d6, Combat 2d6, Stealth 2d6, Percep 2d6, Focus 3d6",1
277,"Swellow",13,8,50,50,2,"Medium",6,9,6,5,5,13,0,"Overland 4, Swim 2, Sky 7, Jump 3/3, Power 1, Intelligence 3","Athl 2d6, Acro 2d6, Combat 3d6, Stealth 2d6+1, Percep 3d6, Focus 3d6",20
278,"Wingull",18,8,50,50,1,"Small",4,3,3,6,3,9,1,"Overland 3, Swim 4, Sky 4, Jump 2/2, Power 1, Intelligence 3, Underdog","Athl 1d6, Acro 3d6, Combat 1d6, Stealth 3d6, Percep 3d6, Focus 2d6",1
279,"Pelipper",18,8,50,50,3,"Medium",6,5,10,9,7,7,0,"Overland 5, Swim 5, Sky 6, Jump 2/2, Power 3, Intelligence 4","Athl 2d6, Acro 2d6, Combat 2d6, Stealth 2d6, Percep 3d6, Focus 3d6",25
280,"Ralts",15,5,50,50,1,"Small",3,3,3,5,4,4,2,"Overland 4, Swim 1, Jump 1/1, Power 1, Intelligence 4, Telekinetic, Telepath, Underdog","Athl 1d6+2, Acro 2d6, Combat 1d6, Stealth 3d6, Percep 3d6, Focus 3d6",1
281,"Kirlia",15,5,50,50,2,"Small",4,4,4,7,6,5,1,"Overland 5, Swim 3, Jump 1/1, Power 2, Intelligence 5, Telekinetic, Telepath, Underdog","Athl 2d6, Acro 2d6+1, Combat 2d6, Stealth 2d6+2, Percep 3d6, Focus 4d6",20
282,"Gardevoir",15,5,50,50,3,"Medium",7,7,7,13,12,8,0,"Overland 6, Swim 4, Jump 2/1, Power 4, Intelligence 7, Aura Reader, Telekinetic, Telepath","Athl 2d6, Acro 2d6+1, Combat 3d6, Stealth 2d6, Percep 4d6, Focus 6d6",30
283,"Surskit",1,18,50,50,1,"Small",4,3,3,5,5,7,1,"Overland 4, Swim 4, Jump 2/2, Power 1, Intelligence 3, Threaded, Underdog, Honey Gather","Athl 2d6, Acro 3d6, Combat 1d6, Stealth 2d6, Percep 3d6+1, Focus 2d6",1
284,"Masquerain",1,8,50,50,1,"Medium",7,6,6,8,8,6,0,"Overland 2, Swim 3, Sky 5, Jump 2/2, Power 1, Intelligence 4","Athl 2d6, Acro 4d6+1, Combat 1d6, Stealth 4d6+2, Percep 4d6, Focus 2d6",20
285,"Shroomish",10,0,50,50,1,"Small",6,4,6,4,6,4,1,"Overland 3, Swim 1, Jump 0/1, Power 2, Intelligence 3, Naturewalk (Grassland, Forest), Mushroom Harvest, Underdog","Athl 2d6+1, Acro 2d6, Combat 2d6, Stealth 3d6+2, Percep 2d6+1, Focus 3d6+2",1
286,"Breloom",10,6,50,50,3,"Medium",6,13,8,6,6,7,0,"Overland 6, Swim 3, Jump 1/1, Power 6, Intelligence 4, Naturewalk (Grassland, Forest), Mushroom Harvest","Athl 4d6+2, Acro 3d6, Combat 4d6, Stealth 4d6+2, Percep 3d6+2, Focus 4d6+2",20
287,"Slakoth",13,0,50,50,3,"Small",6,6,6,4,4,3,2,"Overland 3, Swim 1, Jump 1/1, Power 3, Intelligence 2, Underdog","Athl 1d6, Acro 1d6, Combat 1d6, Stealth 3d6+1, Percep 2d6, Focus 1d6",1
